states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
UP,Bareilly,,,,,6458.0,255.0,,5.0,,,,,,,1.0,,1.0,,68245.0,64148.0,,,,,{'date': '2021-01-13'},,,4465344.0,44028.0,377.0,43650.0,465209.0,2221830.0,749751.0,
UP,Basti,1.0,,,,3555.0,4769.0,,,,,,,,,2.0,,,,24797.0,39395.0,,,,,{'date': '2021-01-31'},,,2461056.0,11717.0,330.0,11385.0,296570.0,1189235.0,399451.0,
UP,Bhadohi,,,,,6.0,7.0,,1.0,,,,,,,,,1.0,,15479.0,20211.0,,,,,{'date': '2021-01-31'},,,1554203.0,7720.0,163.0,7557.0,119023.0,793094.0,244431.0,
UP,Bijnor,,,,,-1.0,1.0,,,,,,,,,,,,,27491.0,53680.0,,,,,{'date': '2021-01-30'},,,3683896.0,14794.0,126.0,14668.0,312985.0,1756682.0,600482.0,
UP,Budaun,,,,,581.0,417.0,,,,,,,,,,,,,53729.0,43678.0,,,,,{'date': '2021-01-23'},,,3712738.0,14941.0,98.0,14843.0,224207.0,1408673.0,364360.0,
UP,Bulandshahr,,,,,2.0,46.0,,,,,,,,,,1.0,,,18195.0,42644.0,,,,,{'date': '2020-12-07'},,,3498507.0,20215.0,243.0,19972.0,269090.0,1647985.0,646236.0,
UP,Chandauli,,,,,192.0,395.0,,,,,,,,,,,1.0,,19998.0,31247.0,,,,,{'date': '2021-01-31'},,,1952713.0,16208.0,356.0,15852.0,211249.0,939599.0,238646.0,
UP,Chitrakoot,,,,,329.0,536.0,,,,,,,,,,,,,13007.0,16383.0,,,,,{'date': '2021-01-10'},,,990626.0,7110.0,79.0,7031.0,234060.0,447303.0,129157.0,
UP,Deoria,,,,,81.0,167.0,,,,,,,,,,,,,29495.0,67895.0,,,,,{'date': '2021-01-31'},,,3098637.0,20223.0,220.0,20003.0,304520.0,1597034.0,537293.0,
UP,Etah,,,,,475.0,170.0,,,,,,,,,,,,,16622.0,25756.0,,,,,{'date': '2021-01-31'},,,1761152.0,9968.0,99.0,9868.0,263295.0,788675.0,213371.0,
UP,Etawah,,,,,873.0,984.0,,,,,,,,,,,,,52312.0,35349.0,,,,,{'date': '2021-01-10'},,,1579160.0,13933.0,293.0,13640.0,297761.0,708258.0,253661.0,
UP,Farrukhabad,,,,,81.0,439.0,,,,,,,,,1.0,,,,15703.0,28433.0,,,,,{'date': '2021-01-10'},,,1887577.0,10348.0,194.0,10153.0,231856.0,833824.0,229745.0,
UP,Fatehpur,,,,,53.0,168.0,,,,,,,,,1.0,,,,13675.0,42615.0,,,,,{'date': '2021-01-10'},,,2632684.0,6814.0,139.0,6674.0,82928.0,1246314.0,410120.0,
UP,Firozabad,,,,,5881.0,3105.0,,,,,,,,,,,,,66838.0,47728.0,,,,,{'date': '2021-01-31'},,,2496761.0,8720.0,135.0,8585.0,322656.0,1005224.0,328351.0,
UP,Gautam Buddha Nagar,1.0,,2.0,,100.0,816.0,,11.0,,,,,,,6.0,,13.0,,22023.0,43162.0,,,,,{'date': '2021-01-24'},,,1674714.0,63353.0,467.0,62876.0,675396.0,1799728.0,974353.0,
UP,Ghaziabad,1.0,,,,3698.0,4330.0,,4.0,,,,,,,3.0,,2.0,,47837.0,71692.0,,,,,{'date': '2021-01-24'},,,4661452.0,55673.0,461.0,55207.0,712611.0,2247039.0,1071908.0,
UP,Ghazipur,,,,,241.0,524.0,,1.0,,,,,,,,,2.0,,22615.0,43797.0,,,,,{'date': '2021-01-31'},,,3622727.0,21641.0,282.0,21359.0,265737.0,1690195.0,509886.0,
UP,Gonda,,,,,40.0,1698.0,,,,,,,,,,,,,22042.0,51150.0,,,,,{'date': '2021-01-31'},,,3431386.0,12282.0,266.0,12016.0,241234.0,1604382.0,555773.0,
UP,Gorakhpur,,,1.0,,96.0,377.0,,3.0,,,,,,,1.0,,4.0,,33169.0,69539.0,,,,,{'date': '2021-01-31'},,,4436275.0,59439.0,848.0,58588.0,480536.0,2347051.0,889085.0,
UP,Hamirpur,,,,,3.0,,,,,,,,,,,,,,11985.0,14350.0,,,,,{'date': '2021-01-10'},,,1104021.0,5232.0,102.0,5130.0,240382.0,561456.0,185949.0,
UP,Hapur,,,,,127.0,307.0,,,,,,,,,,,2.0,,15823.0,21964.0,,,,,{'date': '2021-01-03'},,,1338211.0,12638.0,217.0,12421.0,299725.0,658863.0,254519.0,
UP,Hardoi,,,,,221.0,594.0,,,,,,,,,,,,,29546.0,66612.0,,,,,{'date': '2021-01-30'},,,4091380.0,13755.0,349.0,13406.0,224784.0,1852490.0,537647.0,
UP,Hathras,,,,,,1.0,,,,,,,,,,,,,16507.0,25542.0,,,,,{'date': '2021-01-31'},,,1565678.0,2920.0,43.0,2877.0,260525.0,701190.0,234481.0,
UP,Jalaun,,,,,18.0,30.0,,2.0,,,,,,,3.0,,,,14119.0,21614.0,,,,,{'date': '2021-01-10'},,,1670718.0,11687.0,202.0,11482.0,221719.0,819651.0,251406.0,
UP,Jaunpur,,,,,209.0,3689.0,,,,,,,,,,,2.0,,41689.0,67101.0,,,,,{'date': '2021-01-20'},,,4476072.0,22584.0,235.0,22349.0,322824.0,2189622.0,667013.0,
UP,Jhansi,1.0,,,,14.0,14.0,,,,,,,,,1.0,,,,10719.0,25914.0,,,,,{'date': '2020-11-26'},,,2000755.0,36556.0,663.0,35892.0,312540.0,1132511.0,379818.0,
UP,Kannauj,,,,,82.0,431.0,,2.0,,,,,,,,,,,24440.0,44639.0,,,,,{'date': '2021-01-10'},,,1658005.0,9231.0,114.0,9115.0,124019.0,755119.0,257048.0,
UP,Kanpur Dehat,,,,,47.0,85.0,,,,,,,,,,,,,27985.0,38783.0,,,,,{'date': '2021-01-10'},,,1795092.0,6197.0,110.0,6087.0,344697.0,923661.0,290898.0,
UP,Kanpur Nagar,,,,,38.0,96.0,,,,,,,,,3.0,,1.0,,64788.0,66517.0,,,,,{'date': '2021-01-10'},,,4572951.0,82933.0,1905.0,81024.0,685820.0,2251558.0,859280.0,
UP,Kasganj,,,,,51.0,29.0,,,,,,,,,,,,,8148.0,13675.0,,,,,{'date': '2021-01-31'},,,1438156.0,4250.0,53.0,4197.0,271969.0,608818.0,147948.0,
UP,Kaushambi,,,,,94.0,35.0,,,,,,,,,1.0,,,,38263.0,28403.0,,,,,{'date': '2021-01-14'},,,1596909.0,4424.0,70.0,4353.0,207064.0,760960.0,218775.0,
UP,Kushinagar,,,,,211.0,585.0,,,,,,,,,,,,,16785.0,46465.0,,,,,{'date': '2021-01-30'},,,3560830.0,15617.0,228.0,15389.0,314772.0,1632782.0,458054.0,
UP,Lakhimpur Kheri,,,,,1183.0,1370.0,,,,,,,,,1.0,,,,46453.0,51586.0,,,,,{'date': '2021-01-30'},,,4013634.0,24410.0,292.0,24117.0,368533.0,1829019.0,382178.0,
UP,Lalitpur,,,,,4.0,8.0,,,,,,,,,1.0,,,,8010.0,13539.0,,,,,{'date': '2020-08-07'},,,1218002.0,12742.0,128.0,12613.0,21781.0,627553.0,143519.0,
UP,Lucknow,,,,,10826.0,11083.0,,15.0,,,,,,,10.0,,10.0,,69404.0,107763.0,,,,,{'date': '2020-12-13'},,,4588455.0,238839.0,2651.0,236165.0,1237583.0,3106658.0,1488333.0,
UP,Maharajganj,,,,,53.0,316.0,,1.0,,,,,,,,,,,20643.0,36312.0,,,,,{'date': '2021-01-31'},,,2665292.0,12440.0,140.0,12300.0,334716.0,1283534.0,372559.0,
UP,Mahoba,,,,,10.0,9.0,,,,,,,,,,,,,4765.0,8960.0,,,,,{'date': '2021-01-10'},,,876055.0,4268.0,86.0,4182.0,142992.0,444352.0,148388.0,
UP,Mainpuri,,,,,647.0,1354.0,,,,,,,,,,,,,31507.0,37443.0,,,,,{'date': '2021-01-31'},,,1847194.0,10028.0,182.0,9846.0,228496.0,860461.0,219990.0,
UP,Mathura,,,,,63.0,164.0,,,,,,,,,1.0,,1.0,,10807.0,23027.0,,,,,{'date': '2021-01-29'},,,2541894.0,20297.0,402.0,19893.0,198379.0,1207578.0,418117.0,
UP,Mau,,,,,787.0,453.0,,,,,,,,,1.0,,1.0,,25202.0,32390.0,,,,,{'date': '2021-01-31'},,,2205170.0,8333.0,80.0,8252.0,281445.0,1017497.0,307052.0,
UP,Meerut,1.0,,,,25.0,79.0,,5.0,,,,,,,13.0,,3.0,,25100.0,57600.0,,,,,{'date': '2021-01-31'},,,3447405.0,69480.0,898.0,68567.0,798404.0,1764744.0,842448.0,
UP,Mirzapur,,,1.0,,787.0,419.0,,,,,,,,,,,1.0,,24968.0,41785.0,,,,,{'date': '2021-01-31'},,,2494533.0,11088.0,116.0,10972.0,312764.0,1335308.0,462157.0,
UP,Moradabad,,,1.0,,3951.0,2357.0,,,,,,,,,,,1.0,,52013.0,39070.0,,,,,{'date': '2021-01-13'},,,4773138.0,39102.0,349.0,38752.0,400459.0,1390249.0,443211.0,
UP,Muzaffarnagar,,,,,979.0,707.0,,1.0,,,,,,,1.0,,,,15476.0,38924.0,,,,,{'date': '2021-01-25'},,,4138605.0,31009.0,269.0,30737.0,161704.0,1264005.0,467387.0,
UP,Pilibhit,,,,,2.0,1.0,,1.0,,,,,,,,,,,9611.0,17989.0,,,,,{'date': '2021-01-13'},,,2037225.0,11032.0,193.0,10838.0,291538.0,978332.0,256931.0,
UP,Pratapgarh,,,,,1796.0,1482.0,,1.0,,,,,,,,,,,40603.0,47832.0,,,,,{'date': '2021-01-14'},,,3173752.0,16038.0,163.0,15875.0,100500.0,1480021.0,456869.0,
UP,Prayagraj,,,1.0,,17.0,48.0,,2.0,,,,,,,1.0,,6.0,,75719.0,79660.0,,,,,{'date': '2021-01-14'},,,5959798.0,78699.0,1088.0,77609.0,729300.0,2731341.0,862244.0,
UP,Rae Bareli,,,,,576.0,429.0,,1.0,,,,,,,,,,,33906.0,46996.0,,,,,{'date': '2021-01-30'},,,3404004.0,17104.0,343.0,16761.0,387408.0,1436175.0,344694.0,
UP,Rampur,,,,,3.0,1.0,,,,,,,,,2.0,,,,23526.0,28753.0,,,,,{'date': '2021-01-16'},,,2335398.0,11826.0,148.0,11676.0,274288.0,989666.0,250420.0,
UP,Saharanpur,,,,,6.0,17.0,,1.0,,,,,,,,,,,19216.0,33326.0,,,,,{'date': '2021-01-30'},,,3464228.0,32730.0,420.0,32309.0,266387.0,1638111.0,576986.0,
UP,Sambhal,,,,,1708.0,411.0,,,,,,,,,,,,,27630.0,23914.0,,,,,{'date': '2021-01-13'},,,2217020.0,9438.0,106.0,9331.0,309333.0,893786.0,204352.0,
UP,Sant Kabir Nagar,,,,,82.0,202.0,,,,,,,,,,,,,44511.0,26920.0,,,,,{'date': '2021-01-31'},,,1714300.0,8159.0,98.0,8061.0,292606.0,799506.0,195105.0,
UP,Shahjahanpur,,,,,3563.0,969.0,,,,,,,,,,,,,185421.0,79519.0,,,,,{'date': '2021-01-13'},,,3002376.0,20361.0,444.0,19916.0,437195.0,1743273.0,538827.0,
UP,Shamli,,,,,24.0,14.0,,,,,,,,,,,,,12602.0,16389.0,,,,,{'date': '2021-01-31'},,,1274815.0,12976.0,45.0,12931.0,246597.0,604968.0,206438.0,
UP,Shrawasti,,,,,37.0,120.0,,,,,,,,,,,,,7342.0,17808.0,,,,,{'date': '2021-01-31'},,,1114615.0,4388.0,35.0,4353.0,221566.0,515155.0,181654.0,
UP,Siddharthnagar,,,,,250.0,2209.0,,1.0,,,,,,,,,,,18746.0,53973.0,,,,,{'date': '2021-01-31'},,,2553526.0,9373.0,100.0,9273.0,295047.0,1225133.0,479630.0,
UP,Sitapur,,,,,81.0,197.0,,,,,,,,,,,,,33825.0,52112.0,,,,,{'date': '2021-01-28'},,,4474446.0,12398.0,185.0,12211.0,289473.0,2139996.0,497241.0,
UP,Sonbhadra,,,,,200.0,157.0,,,,,,,,,,,,,21438.0,24430.0,,,,,{'date': '2021-01-31'},,,1862612.0,16807.0,251.0,16556.0,306175.0,812891.0,236871.0,
UP,Sultanpur,,,,,2.0,18.0,,,,,,,,,,,,,14962.0,31247.0,,,,,{'date': '2021-01-31'},,,3790922.0,14915.0,138.0,14777.0,309395.0,1178195.0,370998.0,
UP,Unnao,,,,,201.0,948.0,,,,,,,,,,,,,26506.0,41790.0,,,,,{'date': '2021-01-10'},,,3110595.0,15011.0,254.0,14757.0,298886.0,1554190.0,420513.0,
UP,Varanasi,,,,,159.0,441.0,,2.0,,,,,,,2.0,,1.0,,38187.0,55104.0,,,,,{'date': '2021-01-31'},,,3682194.0,85501.0,971.0,84528.0,595510.0,2109381.0,843905.0,
UT,Almora,,,,,37.0,416.0,,,,,,,,,7.0,,7.0,,729.0,10440.0,,,,,{'date': '2021-01-30'},,,621927.0,12190.0,196.0,11378.0,84443.0,378242.0,215715.0,
UT,Bageshwar,,,,,75.0,1286.0,,,,,,,,,1.0,,,,371.0,6323.0,,,,,{'date': '2021-01-30'},,,259840.0,5764.0,60.0,5678.0,55626.0,183447.0,131244.0,
UT,Chamoli,,,,,13.0,268.0,,3.0,,,,,,,4.0,,4.0,,822.0,11652.0,,,,,{'date': '2021-01-30'},,,391114.0,12242.0,62.0,11972.0,90390.0,273850.0,191420.0,
UT,Champawat,1.0,,,,44.0,613.0,,7.0,,,,,,,3.0,,,,754.0,6007.0,,,,,{'date': '2021-01-30'},,,259315.0,7603.0,53.0,7358.0,95068.0,183354.0,119870.0,
UT,Dehradun,3.0,,4.0,,308.0,3611.0,,28.0,,,,,,,30.0,,24.0,,5963.0,49795.0,,,,,{'date': '2021-01-30'},,,1698560.0,112363.0,3521.0,108137.0,401496.0,1465464.0,793803.0,
UT,Haridwar,1.0,,,,224.0,1907.0,,5.0,,,,,,,10.0,1.0,8.0,,3960.0,52191.0,,,,,{'date': '2021-01-30'},,,1927029.0,51498.0,1019.0,49096.0,369542.0,1456257.0,635360.0,
UT,Nainital,,,3.0,,31.0,288.0,,25.0,,,,,,,10.0,,14.0,,2285.0,16850.0,,,,,{'date': '2021-01-30'},,,955128.0,39232.0,944.0,38140.0,204422.0,722854.0,398680.0,
UT,Pauri Garhwal,,,,,25.0,108.0,,7.0,,,,,,,3.0,,5.0,,2116.0,14253.0,,,,,{'date': '2021-01-30'},,,686527.0,17686.0,315.0,16668.0,138878.0,431320.0,229262.0,
UT,Pithoragarh,,,1.0,,89.0,609.0,,4.0,,,,,,,3.0,,6.0,,930.0,10608.0,,,,,{'date': '2021-01-30'},,,485993.0,10260.0,181.0,9962.0,72686.0,318644.0,183765.0,
UT,Rudraprayag,,,1.0,,30.0,326.0,,7.0,,,,,,,,,3.0,,416.0,6212.0,,,,,{'date': '2021-01-30'},,,236857.0,8800.0,106.0,8535.0,52378.0,170911.0,113480.0,
UT,Tehri Garhwal,,,,,12.0,120.0,,1.0,,,,,,,,,,,2235.0,15658.0,,,,,{'date': '2021-01-30'},,,616409.0,15835.0,108.0,14827.0,105111.0,381493.0,206527.0,
UT,Udham Singh Nagar,,,,,167.0,3581.0,,,,,,,,,,,3.0,,3588.0,48283.0,,,,,{'date': '2021-01-30'},,,1648367.0,37875.0,761.0,36315.0,337292.0,1277738.0,518326.0,
UT,Uttarkashi,,,,,12.0,83.0,,1.0,,,,,,,4.0,,,,1063.0,9910.0,,,,,{'date': '2021-01-30'},,,329686.0,12548.0,74.0,12129.0,120026.0,234425.0,160687.0,
WB,Alipurduar,4.0,,5.0,,579.0,1298.0,,26.0,,,,,,,31.0,,35.0,,38488.0,29790.0,,,,,,,,1700000.0,15589.0,102.0,15441.0,,949775.0,353666.0,
WB,Bankura,30.0,,21.0,,38854.0,5692.0,,83.0,,,,,,,161.0,1.0,133.0,,220390.0,76120.0,,,,,,,,3596292.0,36313.0,274.0,35839.0,,2245147.0,706177.0,
WB,Birbhum,20.0,,20.0,,6911.0,2868.0,,51.0,,,,,,,176.0,,102.0,,99629.0,84919.0,,,,,,,,3502387.0,41197.0,286.0,40727.0,,2152966.0,846286.0,
WB,Cooch Behar,10.0,,13.0,,3386.0,395.0,,82.0,,,,,,,77.0,,93.0,,122592.0,26214.0,,,,,,,,2822780.0,29275.0,97.0,29060.0,,1444232.0,421663.0,
WB,Dakshin Dinajpur,14.0,,16.0,,724.0,998.0,,80.0,,,,,,,111.0,1.0,108.0,,53398.0,21657.0,,,,,,,,1670931.0,17889.0,170.0,17573.0,,1063493.0,363056.0,
WB,Darjeeling,23.0,,31.0,,945.0,1844.0,,160.0,,,,,,,189.0,1.0,214.0,,21148.0,69087.0,,,,,,,,1842034.0,57143.0,539.0,56326.0,,1324555.0,664306.0,
WB,Hooghly,58.0,,74.0,,41006.0,9034.0,,358.0,,,,,,,472.0,2.0,497.0,,274722.0,105570.0,,,,,,,,5520389.0,86300.0,990.0,84650.0,,3368156.0,1343978.0,
WB,Howrah,73.0,,73.0,,14299.0,4502.0,,344.0,,,,,,,518.0,2.0,473.0,,207351.0,95203.0,,,,,,,,4841638.0,98757.0,1524.0,96567.0,,2905925.0,1254076.0,
WB,Jalpaiguri,16.0,1.0,17.0,,9642.0,3130.0,,110.0,,,,,,,102.0,6.0,120.0,,53967.0,63773.0,,,,,,,,3869675.0,41982.0,572.0,41256.0,,1144138.0,410719.0,
WB,Jhargram,3.0,,5.0,,477.0,700.0,,37.0,,,,,,,25.0,,39.0,,39020.0,19553.0,,,,,,,,1136548.0,12135.0,27.0,12063.0,,714456.0,211586.0,
WB,Kalimpong,2.0,,4.0,,8.0,429.0,,30.0,,,,,,,18.0,,28.0,,513.0,10626.0,,,,,,,,251642.0,7036.0,54.0,6950.0,,180713.0,124420.0,
WB,Kolkata,274.0,6.0,244.0,,334.0,1626.0,,1044.0,,,,,,,1843.0,25.0,1553.0,,36977.0,206020.0,,,,,,,,4486679.0,322541.0,5152.0,315146.0,,4784084.0,3039486.0,
WB,Malda,32.0,,8.0,,2191.0,1771.0,,58.0,,,,,,,77.0,,51.0,,227391.0,55976.0,,,,,,,,3997970.0,33406.0,186.0,33121.0,,2029144.0,590497.0,
WB,Murshidabad,5.0,,8.0,,17667.0,1587.0,,31.0,,,,,,,48.0,1.0,40.0,,621102.0,86224.0,,,,,,,,7102430.0,33993.0,328.0,33605.0,,3952659.0,976111.0,
WB,Nadia,31.0,1.0,48.0,,15875.0,1863.0,,228.0,,,,,,,302.0,8.0,326.0,,251739.0,89327.0,,,,,,,,5168488.0,73333.0,859.0,72054.0,,2798942.0,884320.0,
WB,North 24 Parganas,144.0,6.0,147.0,,5231.0,7658.0,,763.0,,,,,,,1066.0,27.0,961.0,,235852.0,241201.0,,,,,,,,10082852.0,329257.0,4833.0,323097.0,,6547702.0,2720315.0,
WB,Other State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,3.0,63.0,,,,
WB,Paschim Bardhaman,32.0,,25.0,,286.0,786.0,,74.0,,,,,,,213.0,1.0,149.0,,94473.0,72103.0,,,,,,,,2882031.0,57778.0,356.0,57184.0,,1789611.0,677747.0,
WB,Paschim Medinipur,26.0,,28.0,,6512.0,1457.0,,136.0,,,,,,,181.0,1.0,198.0,,270458.0,66132.0,,,,,,,,5094238.0,53581.0,507.0,52820.0,,2758576.0,877978.0,
WB,Purba Bardhaman,16.0,,25.0,,17168.0,4002.0,,132.0,,,,,,,147.0,2.0,176.0,,260764.0,51741.0,,,,,,,,4835532.0,42005.0,198.0,41588.0,,2596246.0,859528.0,
WB,Purba Medinipur,16.0,,17.0,,5370.0,2226.0,,65.0,,,,,,,94.0,1.0,120.0,,71724.0,144185.0,,,,,,,,4417377.0,63098.0,397.0,62549.0,,3560589.0,1471674.0,
WB,Purulia,2.0,,3.0,,13266.0,1866.0,,9.0,,,,,,,17.0,,21.0,,159111.0,40922.0,,,,,,,,2927965.0,19419.0,113.0,19283.0,,1679941.0,492310.0,
WB,South 24 Parganas,75.0,1.0,74.0,,7086.0,3270.0,,267.0,,,,,,,542.0,5.0,470.0,,310444.0,169231.0,,,,,,,,8153176.0,100957.0,1336.0,98950.0,,4850898.0,1832073.0,
WB,Uttar Dinajpur,8.0,,7.0,,,,,25.0,,,,,,,43.0,2.0,46.0,,130243.0,44686.0,,,,,,,,3000849.0,19858.0,238.0,19559.0,,1341457.0,436182.0,
